Date,strategy_returns
2024-08-06,-0.004
2024-08-07,-0.004
2024-08-08,0.06043458750034334
2024-08-09,-0.0215563477210961
2024-08-12,0.002674178004268106
2024-08-13,-0.0018935085525482922
2024-08-14,-0.015949414705198173
2024-08-15,-0.0007851727185406998
2024-08-16,0.0027773592896023795
2024-08-19,-0.004
2024-08-20,-0.004
2024-08-21,-0.004
2024-08-22,-0.004
2024-08-23,-0.004
2024-08-26,0.026653069158303275
2024-08-27,-0.014092760819442426
2024-08-28,-0.003097148851617784
2024-08-29,0.03307512265969012
2024-08-30,-0.002
2024-09-03,0.0
2024-09-04,0.0
2024-09-05,0.0
2024-09-06,-0.002
2024-09-09,0.015913054383810517
2024-09-10,-0.004
2024-09-11,0.009448974450707123
2024-09-12,0.007786078693387592
2024-09-13,-0.016395719677842098
2024-09-16,-0.004
2024-09-17,-0.004
2024-09-18,0.0026483461305802057
2024-09-19,-0.004
2024-09-20,0.03718726985524114
2024-09-23,0.00518571743839948
2024-09-24,-0.014080140079187953
2024-09-25,0.015301805188512797
2024-09-26,-0.002
2024-09-27,-0.002
2024-09-30,0.030367667721458214
2024-10-01,-0.017438412100458905
2024-10-02,-0.004
2024-10-03,0.005460992639854376
2024-10-04,-0.004
2024-10-07,0.0017384857809376398
2024-10-08,0.05674515287192608
2024-10-09,0.05548735698907119
2024-10-10,-0.042827119270332004
2024-10-11,-0.004
2024-10-14,-0.004
2024-10-15,-0.004
2024-10-16,-0.004
2024-10-17,0.018250010700356627
2024-10-18,0.0345964330779014
2024-10-21,-0.022062377488625922
2024-10-22,0.02347629034240753
2024-10-23,-0.004
2024-10-24,0.019160227409746645
2024-10-25,-0.004
2024-10-28,0.04804899530964612
2024-10-29,-0.024899736101750485
2024-10-30,0.03590162805215159
2024-10-31,-0.008974071128840556
2024-11-01,-0.002
2024-11-04,0.0
2024-11-05,-0.002
2024-11-06,0.13090516606329602
2024-11-07,-0.10445128053919017
2024-11-08,0.07760348777807599
2024-11-11,0.035524681217105766
2024-11-12,-0.004
2024-11-13,-0.004
2024-11-14,-0.002
2024-11-15,-0.002
2024-11-18,-0.004
2024-11-19,0.006568617763131147
2024-11-20,-0.005200118980357514
2024-11-21,-0.004
2024-11-22,0.00578060041837212
2024-11-25,-0.004
2024-11-26,-0.004
2024-11-27,0.03435839085133453
2024-11-29,-0.006011646249703126
2024-12-02,0.012628318049063392
2024-12-03,0.02924859864705888
2024-12-04,-0.004
2024-12-05,0.018055892897656883
2024-12-06,-0.013611970536671972
2024-12-09,0.014699489884112984
2024-12-10,-0.014855879373971575
2024-12-11,-0.004
2024-12-12,0.0014793719161816147
2024-12-13,0.0027856239086507285
2024-12-16,0.018633161326668514
2024-12-17,0.026941167197404494
2024-12-18,-0.033180329395757144
2024-12-19,0.002295670872097883
2024-12-20,-0.0037389443761761884
2024-12-23,-0.002
2024-12-24,-0.002
2024-12-26,0.020507032690951416
2024-12-27,-0.004
2024-12-30,-0.004
