Date,zscore
2020-09-11,-1.0893087671602575
2020-09-14,-1.5548366622536942
2020-09-15,-1.4870334894455175
2020-09-16,-1.3160008894126132
2020-09-17,-1.4428125646612675
2020-09-18,-1.898437185467663
2020-09-21,-2.713119006633276
2020-09-22,-2.6843311242552605
2020-09-23,-2.7956403314726983
2020-09-24,-2.3096004471491787
2020-09-25,-2.5472443911977236
2020-09-28,-2.1659040067587685
2020-09-29,-2.839810596535919
2020-09-30,-2.5576210524160814
2020-10-01,-2.097658771818315
2020-10-02,-2.2123216855063146
2020-10-05,-2.0510417456835714
2020-10-06,-2.0813553706213557
2020-10-07,-1.8534636456562978
2020-10-08,-1.7885352274666162
2020-10-09,-2.406294426130108
2020-10-12,-2.281625486594942
2020-10-13,-1.975181147971887
2020-10-14,-1.633331388243119
2020-10-15,-2.0110529154114025
2020-10-16,-1.8342580408405653
2020-10-19,-1.6001924257707256
2020-10-20,-1.2503704640412643
2020-10-21,-1.026379956746261
2020-10-22,-0.7320586423645864
2020-10-23,-0.8170943522578872
2020-10-26,-0.8986477116141404
2020-10-27,-0.785200507982339
2020-10-28,-1.0018686061013087
2020-10-29,-0.6166027504591381
2020-10-30,-0.8262860516997319
2020-11-02,-0.8886486510225636
2020-11-03,-1.0539966885298708
2020-11-04,-1.4550047340923384
2020-11-05,-0.7800774289244682
2020-11-06,-0.6495047189465842
2020-11-09,0.13794131199002038
2020-11-10,0.23806087079829044
2020-11-11,0.15940058367020163
2020-11-12,-0.047670870461362855
2020-11-13,0.43233876818379113
2020-11-14,0.47704658572206304
2020-11-16,0.8156196194179295
2020-11-17,0.903645465617156
2020-11-18,0.7505376399900507
2020-11-19,1.3147648479481933
2020-11-20,1.257760393086219
2020-11-23,2.1343925270735697
2020-11-24,2.400092078923438
2020-11-25,2.261755486912201
2020-11-26,2.192590324318492
2020-11-27,1.8173373038683098
2020-11-30,0.8548655454678542
2020-12-01,1.4428737830118676
2020-12-02,1.567977510243195
2020-12-03,1.8250717163100838
2020-12-04,2.1626613392345475
2020-12-07,2.230371466483112
2020-12-08,2.3636501139203
2020-12-09,1.5836246385214983
2020-12-10,1.7828668016520703
2020-12-11,1.7038739429856176
2020-12-14,0.9684566064082628
2020-12-15,1.3212974050260657
2020-12-16,0.8956166679122044
2020-12-17,0.9047278204096634
2020-12-18,0.7240689988721152
2020-12-21,1.0795735302451377
2020-12-22,1.1498712133925304
2020-12-23,1.161601125607407
2020-12-24,1.0396683626302838
2020-12-28,1.0950015765267394
2020-12-29,1.1920246351185437
2020-12-30,1.2224970078287904
2020-12-31,1.5346338223082447
2021-01-01,1.4875851596792409
2021-01-04,1.189159159636068
2021-01-05,1.0260747446163878
2021-01-06,1.5547896167786674
2021-01-07,1.5088085425126117
2021-01-08,1.5667167770512307
2021-01-11,1.6095713365256163
2021-01-12,1.5634462102131341
2021-01-13,1.4038979869720294
2021-01-14,1.6392446662832176
2021-01-15,1.28882336535546
2021-01-18,1.250993014015122
2021-01-19,1.358523681478426
2021-01-20,1.491135402014472
2021-01-21,-0.3197717202088572
2021-01-22,-0.5274352703848153
2021-01-25,-0.8417228859684411
2021-01-26,-1.2995681666828571
2021-01-27,-1.073208231511947
2021-01-28,-1.0725885312556223
2021-01-29,-1.3644485841832799
2021-02-01,-0.6834129689377076
2021-02-02,-0.6035304595761672
2021-02-03,-0.31348441388214004
2021-02-04,-0.4174482711089998
2021-02-05,-0.5036311079474505
2021-02-08,-0.3424202207250596
2021-02-09,-0.8083957461981203
2021-02-10,-1.1839411199748833
2021-02-11,-1.3361938433182294
2021-02-12,-1.2950660625752182
2021-02-15,-1.2845392206869488
2021-02-16,-0.735849701927097
2021-02-17,-1.4359286054248472
2021-02-18,-2.100222404545259
2021-02-19,-0.9567029512791269
2021-02-22,-0.6749922392620707
2021-02-23,-0.5005047248240153
2021-02-24,-0.011849004514943034
2021-02-25,-1.4836176343069662
2021-02-26,-0.9568098990176733
2021-03-01,0.1351126006457143
2021-03-02,-0.37607128127870015
2021-03-03,0.9765002403499365
2021-03-04,0.6294304837793605
2021-03-05,0.6585753650457753
2021-03-08,0.5242697169991504
2021-03-09,1.0958634915700234
2021-03-10,1.688860859469512
2021-03-11,1.5707841031079706
2021-03-12,1.4151825821510655
2021-03-15,0.6790337396249382
2021-03-16,0.44082993202098497
2021-03-17,0.701198493137792
2021-03-18,0.6983787406496634
2021-03-19,0.3898714537506882
2021-03-22,-0.15440757449061515
2021-03-23,-0.6393338892314809
2021-03-24,-0.26591620173688446
2021-03-25,0.06279679342090101
2021-03-26,0.4771754206157315
2021-03-29,0.46613490037082533
2021-03-30,1.2040935178176924
2021-03-31,1.317941935224511
2021-04-01,1.0090053242454635
2021-04-05,0.8143581390446142
2021-04-06,0.29487139264153983
2021-04-07,0.4733565294145754
2021-04-08,0.17792616040299514
2021-04-09,0.47261224533823154
2021-04-12,0.5873745009802895
2021-04-13,-0.005217909791200653
2021-04-14,0.33249223157098795
2021-04-15,0.04496548619038476
2021-04-16,1.1934107406205074
2021-04-19,1.1055256929217656
2021-04-20,0.3619765377220775
2021-04-21,0.006367330112970008
2021-04-22,-0.2584607942139076
2021-04-23,0.18189845587884382
2021-04-26,0.394635306152392
2021-04-27,0.47368614102260365
2021-04-28,0.37941902186706317
2021-04-29,0.2823789223525306
2021-04-30,0.17394852310652278
2021-05-03,0.4867492833779689
2021-05-04,0.6201200775560599
2021-05-05,0.7847346045282344
2021-05-06,-0.1439506176293309
2021-05-07,-0.46807356671187783
2021-05-10,-0.46267381451758804
2021-05-11,-0.3112854399922688
2021-05-12,-0.514421005671331
2021-05-13,-0.07803733850457088
2021-05-14,0.06403408859416532
2021-05-17,-0.48053387722980406
2021-05-18,-0.38508898679620507
2021-05-19,-0.8316969299690307
2021-05-20,-0.7967014094071465
2021-05-21,0.034406427673869304
2021-05-24,-0.23021030057604552
2021-05-25,-0.7056522869672467
2021-05-26,-0.6642420143986678
2021-05-27,-1.0638825448232123
2021-05-28,-1.098250467016992
2021-05-31,-1.0654871900302334
2021-06-01,0.2131473203416798
2021-06-02,0.3680076435193429
2021-06-03,0.6386441309185222
2021-06-04,-0.5325280956426328
2021-06-07,-0.5182874389874004
2021-06-08,-0.4218673883633012
2021-06-09,-0.9446168957456058
2021-06-10,-1.9383776609726628
2021-06-11,-1.5766531161836903
2021-06-14,-2.464085993984309
2021-06-15,-1.8369368970756257
2021-06-16,-2.5537392363842617
2021-06-17,-1.9400222627221924
2021-06-18,-2.3242647816399824
2021-06-21,-2.0134144609438307
2021-06-22,-1.854266865654417
2021-06-23,-1.3704034112933188
2021-06-24,-0.7766597582068975
2021-06-25,-2.139989625105815
2021-06-28,-2.0962622066083894
2021-06-29,-2.3998000147492373
2021-06-30,-2.202111836763706
2021-07-01,-1.767856066915312
2021-07-02,-2.1740476821998937
2021-07-05,-2.061032982548696
2021-07-06,-2.0681511261870362
2021-07-07,-1.5358748385667436
2021-07-08,-0.8815270298222083
2021-07-09,-0.9069484331841704
2021-07-12,-0.7578914811448121
2021-07-13,-2.2854606745889887
2021-07-14,-2.088200052289946
2021-07-15,-2.1043669382135777
2021-07-16,-2.2095497279068104
2021-07-19,-1.6638532958628562
2021-07-20,-0.9156771087999612
2021-07-21,0.0824769964860808
2021-07-22,-0.3385188923748465
2021-07-23,-0.7430878026795154
2021-07-26,-0.14817887785018086
2021-07-27,0.04982088012010617
2021-07-28,-0.6438750514758693
2021-07-29,-1.2133236384509214
2021-07-30,-0.9289810543185243
2021-08-02,-1.539917742550306
2021-08-03,-0.4952708314470944
2021-08-04,-0.8078378646957489
2021-08-05,-1.1187828165361824
2021-08-06,-0.16795811473160394
2021-08-09,0.29800265569330453
2021-08-10,1.1396831272850088
2021-08-11,1.2271630897844117
2021-08-12,1.608531731377913
2021-08-13,1.2535655861295083
2021-08-16,0.6448868800787657
2021-08-17,0.011657689256123911
2021-08-18,0.7038927278826199
2021-08-19,-1.0376504610180812
2021-08-20,-0.7252345239482582
2021-08-23,-0.20983243085846695
2021-08-24,-0.25049266435952344
2021-08-25,-0.26695052621553134
2021-08-26,-0.6638124833841504
2021-08-27,0.1089126598401586
2021-08-30,0.2506390014459163
2021-08-31,-1.1033843765134708
2021-09-01,0.11167892295595942
2021-09-02,0.6021675933563528
2021-09-03,0.09509284848630448
2021-09-06,0.09536193425262955
2021-09-07,-0.8187612189276791
2021-09-08,-1.875210579615436
2021-09-09,-1.9028718874474648
2021-09-10,-2.4942534778553833
2021-09-13,-2.1393430461649277
2021-09-14,-1.4410213958120675
2021-09-15,-1.1221011281045414
2021-09-16,-1.6935922563527988
2021-09-17,-1.8410040195458013
2021-09-20,-1.534833274782857
2021-09-21,-2.2273918874034138
2021-09-22,-2.6112126296400446
2021-09-23,-2.404991903441873
2021-09-24,-1.9343400001619624
2021-09-27,-0.6026785514795289
2021-09-28,-1.3878100745658695
2021-09-29,-1.3357291582947208
2021-09-30,-0.9594652580045918
2021-10-01,-0.698445203591924
2021-10-04,-1.4982231436432625
2021-10-05,-1.5964467307300714
2021-10-06,-1.772293515785654
2021-10-07,-2.2235582295211445
2021-10-08,-2.5389666375174027
2021-10-11,-2.963376469484268
2021-10-12,-2.6095447823501985
2021-10-13,-1.7729220123723182
2021-10-14,-2.3718136470491187
2021-10-15,-1.3204280150016074
2021-10-18,-1.3207263050866926
2021-10-19,-1.3506224022116238
2021-10-20,-1.2687144810513784
2021-10-21,-0.2732654638431895
2021-10-22,-0.160270836696565
2021-10-25,0.18578957858599585
2021-10-26,0.2618646293458185
2021-10-27,0.901181095919838
2021-10-28,0.3234984721054931
2021-10-29,0.5576632814054484
2021-11-01,0.5657435533083519
2021-11-02,0.8610081001769162
2021-11-03,1.352562042786137
2021-11-04,2.0774882662366227
2021-11-05,2.4993229966696484
2021-11-08,2.4822997276079177
2021-11-09,2.4551689830572117
2021-11-10,2.1266963846776648
2021-11-11,2.2581859049293875
2021-11-12,2.154332366798454
2021-11-15,2.1479105684351105
2021-11-16,2.190051437073018
2021-11-17,1.6565648833891964
2021-11-18,1.5384929109035699
2021-11-19,1.0873772952621874
2021-11-22,1.2228658530656764
2021-11-23,1.314022215141531
2021-11-24,1.3537102730952855
2021-11-25,1.3218237387145317
2021-11-26,1.5000452890836076
2021-11-29,1.5046581540511699
2021-11-30,1.1706788209293113
2021-12-01,0.5558480736619126
2021-12-02,0.9396123260928088
2021-12-03,0.7459937506922807
2021-12-06,1.0922407138505061
2021-12-07,1.0171066633868977
2021-12-08,1.3253021392730773
2021-12-09,1.4161054253741985
2021-12-10,1.4009237214492092
2021-12-13,0.9481142297146233
2021-12-14,1.3923057142093624
2021-12-15,1.557544428814319
2021-12-16,1.2695868513339217
2021-12-17,1.1073034383689484
2021-12-20,1.2909343260574793
2021-12-21,0.9811465162732979
2021-12-22,0.7239027341861409
2021-12-23,0.6817520261922794
2021-12-24,0.6584798679858802
2021-12-27,0.6753422908119753
2021-12-28,0.5920596743692036
2021-12-29,0.7500091962639511
2021-12-30,0.67822093848577
2021-12-31,0.8593653653097896
2022-01-03,0.922083519450836
2022-01-04,0.29124001638033103
2022-01-05,-0.09772287447175766
2022-01-06,-0.26792561949279914
2022-01-07,0.2186169286127359
2022-01-10,-0.0409572710320632
2022-01-11,-0.44437161949601184
2022-01-12,-0.8049813510972293
2022-01-13,-0.829543005213293
2022-01-14,-0.9463428172404087
2022-01-17,-1.0172116911971534
2022-01-18,-1.7641941418453428
2022-01-19,-2.216979352582878
2022-01-20,-2.5677786603345645
2022-01-21,-2.697305607247747
2022-01-24,-2.203955728076596
2022-01-25,-2.1902106907160657
2022-01-26,-2.1893179544054933
2022-01-27,-2.608041835492647
2022-01-28,-2.805248803946498
2022-01-31,-2.331517587989596
2022-02-01,-1.9814796721457726
2022-02-02,-1.3798708189486362
2022-02-03,-1.2294647887023662
2022-02-04,-1.2462727104530735
2022-02-07,-1.6445364477476176
2022-02-08,-1.3327031677772747
2022-02-09,-1.5530985193662366
2022-02-10,-1.6107519321580512
2022-02-11,-1.0653849652833998
2022-02-14,-0.9316125575568807
2022-02-15,-0.8881704928066061
2022-02-16,-0.7796051647434314
2022-02-17,-0.8655672822174567
2022-02-18,-0.5906507835102265
2022-02-21,-0.5675479972655089
2022-02-22,-1.2072692022493046
2022-02-23,-1.0742376426455011
2022-02-24,-1.899694925617474
2022-02-25,-1.0914636949074579
2022-02-28,-1.3550743837310533
2022-03-01,-1.4554387842351229
2022-03-02,-1.6960276362007927
2022-03-03,-2.3478385769126797
2022-03-04,-2.139580273206429
2022-03-07,-1.823348777695279
2022-03-08,-0.7092886540105473
2022-03-09,0.19332927762523422
2022-03-10,0.08404918716223056
2022-03-11,-0.7421520954642247
2022-03-14,-0.5028402922832954
2022-03-15,0.3090460438282052
2022-03-16,0.30717285394359406
2022-03-17,0.3358947636037429
2022-03-18,0.2583961516864272
2022-03-21,0.32970618294677984
2022-03-22,0.34726590399692414
2022-03-23,0.024842722932314102
2022-03-24,-0.004658621435856982
2022-03-25,-0.12076386348748372
2022-03-28,-0.13355750558763196
2022-03-29,0.9231448378423392
2022-03-30,0.14744486050664574
2022-03-31,0.37270031396782294
2022-04-01,0.8052449909403704
2022-04-04,1.1229095006034155
2022-04-05,0.8225566998171043
2022-04-06,1.0904749238041336
2022-04-07,1.3886729507873834
2022-04-08,1.2326711135858046
2022-04-11,2.282047365597398
2022-04-12,2.0836148858594608
2022-04-13,2.660528458350151
2022-04-14,2.1606378654582294
2022-04-18,2.2179140730126985
2022-04-19,2.0926450102659135
2022-04-20,1.834620646578715
2022-04-21,-0.13581531431847177
2022-04-22,-0.31044604590263414
2022-04-25,0.8986846226265645
2022-04-26,0.932906574296629
2022-04-27,1.0917851555635583
2022-04-28,1.6818585702216655
2022-04-29,0.8562289676071583
2022-05-02,0.6148325227640403
2022-05-03,1.6064123384282496
2022-05-04,1.4998858306811085
2022-05-05,1.3567865776638306
2022-05-06,1.5062526323494165
2022-05-09,1.207619348813864
2022-05-10,1.3882343485723132
2022-05-11,1.2497458867952955
2022-05-12,1.2179552709161552
2022-05-13,1.3590810211086726
2022-05-16,1.3171000485293447
2022-05-17,1.280245219458372
2022-05-18,1.0938349587172744
2022-05-19,0.8643397865192111
2022-05-20,0.3283144605561504
2022-05-23,0.5936010432747505
2022-05-24,0.7802643632043571
2022-05-25,0.9041765707441404
